date and time, temperature, pump cooler freq, concentration, light intensity
2023-06-20 12:15:22, 15.82051, 1, 18632.13, 1587.64
2023-06-20 12:15:32, 15.87392, 1, 17420.34, 1582.84
2023-06-20 12:15:42, 16.05139, 1, 17607.23, 1582.12
2023-06-20 12:15:52, 15.82913, 1, 18030.12, 1588.15
2023-06-20 12:16:02, 15.82216, 1, 17371.49, 1587.48
2023-06-20 12:16:12, 15.7789, 1, 18577.36, 1589.2
2023-06-20 12:16:22, 15.83947, 1, 18096.33, 1587.61
2023-06-20 12:16:32, 16.01177, 1, 16163.04, 1586.03
2023-06-20 12:16:42, 15.86173, 1, 17500.84, 1585.13
2023-06-20 12:16:52, 16.0721, 1, 17325.5, 1579.89
2023-06-20 12:17:02, 15.82228, 1, 17601.48, 1577.88
2023-06-20 12:17:12, 15.8705, 1, 17127.25, 1585.39
2023-06-20 12:17:22, 15.86504, 1, 16644.92, 1582.07
2023-06-20 12:17:32, 15.71029, 1, 18684.0, 1584.89
2023-06-20 12:17:42, 15.98246, 1, 19639.09, 1578.94
2023-06-20 12:17:52, 15.98591, 1, 17912.16, 1579.27
2023-06-20 12:18:02, 15.69263, 1, 16814.25, 1584.26
2023-06-20 12:18:12, 15.81363, 1, 17199.06, 1579.88
2023-06-20 12:18:22, 15.84804, 1, 18568.71, 1581.57
2023-06-20 12:18:32, 15.9428, 1, 16581.8, 1585.23
2023-06-20 12:18:42, 15.93907, 1, 17170.32, 1578.33
2023-06-20 12:18:52, 15.87393, 1, 17771.16, 1581.34
2023-06-20 12:19:02, 15.89975, 1, 17955.31, 1587.54
2023-06-20 12:19:13, 15.62852, 1, 17592.84, 1584.07
2023-06-20 12:19:23, 15.94287, 1, 18416.02, 1582.21
2023-06-20 12:19:33, 15.86519, 1, 17443.35, 1586.47
2023-06-20 12:19:43, 15.9858, 1, 17325.5, 1586.42
2023-06-20 12:19:53, 15.7446, 1, 18119.4, 1580.72
2023-06-20 12:20:03, 15.95149, 1, 17472.1, 1581.0
2023-06-20 12:20:13, 15.87389, 1, 17975.46, 1580.9
2023-06-20 12:20:23, 16.03244, 1, 17650.38, 1581.26
2023-06-20 12:20:33, 15.76188, 1, 17331.25, 1585.46
2023-06-20 12:20:43, 16.21325, 1, 18626.37, 1584.41
2023-06-20 12:20:53, 16.08064, 1, 18058.92, 1582.53
2023-06-20 12:21:03, 16.02727, 1, 18375.69, 1586.48
2023-06-20 12:21:13, 15.82226, 1, 17328.39, 1581.43
2023-06-20 12:21:23, 15.80258, 1, 18859.86, 1579.75
2023-06-20 12:21:33, 16.13406, 1, 18894.44, 1588.21
